patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Vân Phạm,475421669592,1954,0505149657,user_1d3bfe86b2d140d68ad5204e3e0c6cbd@anon.medviet.local,"Thị xã JohnXã
7 Hoàng Ngõ, 486077",Khỏe mạnh,5.37,Thành Đặng,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Nhật Trí Nguyễn,217382924787,1948,0974356177,user_6aa7583c09874175ac759425f38f2af3@anon.medviet.local,"76 John Ngõ
JaneQuận, 988104",Tiểu đường,11.77,Chị Nhật Bùi,20/01/2026
a2bc372f-7412-4293-8729-4739614ff3d7,Phương Bùi,895874250675,1963,0726559699,user_c3f75b2760694c6384c1caaa6c9dc023@anon.medviet.local,"409 John Làng
Thành phố JohnHuyện, 676248",Tim mạch,5.28,Minh Văn Hoàng,03/03/2026
654821d0-7fcd-4eb1-a7ca-d415366eb16f,Linh Phạm,234310419747,1968,0767466244,user_4d88f212b12843caa6fd2bd1e2df6670@anon.medviet.local,"0 Đặng Làng
JohnHuyện, 608056",Tim mạch,5.31,Chị Hà Bùi,18/02/2026
f143262f-dc5c-4eed-8da0-365bf89897b9,Trung Trần,464361005785,1971,0325984738,user_2978260a3c94431594780c11fe4afeea@anon.medviet.local,"747 John Dãy
JaneThành phố, 919904",Tiểu đường,4.8,Yến Phạm,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Ánh Trần,486428405754,1968,0731265407,user_f3d1b371ecd04e86b544702ba624273b@anon.medviet.local,"12 John Đường
JohnXã, 783331",Tiểu đường,11.61,Quang Vũ,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Trọng Mai Bảo Phạm,806323210876,1938,0783012605,user_ee1a8787d72e4ef4b1b5e01d96064097@anon.medviet.local,"5 Jane Tổ
Thành phố JaneXã, 913666",Tim mạch,5.54,An Vũ,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Bà Hạnh Đặng,801974422236,1942,0712720996,user_cec184aeefd84080badb95dd0da53311@anon.medviet.local,"938 Hoàng Hẻm
Thành phố JohnThị xã, 558157",Tim mạch,7.22,Hải Trí Nguyễn,03/01/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Xuân Bùi,810436499035,2000,0589977388,user_e7249c3ada43449c8438fd6a99429de0@anon.medviet.local,"835 John Số
Huyện JaneThành phố, 437682",Huyết áp cao,5.87,Hưng Phạm,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Kim Vũ,360171141333,1960,0777540958,user_b3cc295a198640ec947d05d20653a791@anon.medviet.local,"3 John Ngõ
JohnThành phố, 828731",Khỏe mạnh,9.69,Bác Trọng Trần,26/01/2026
